"Home.Zip","Work.Zip"
10016,10018
10012,10011
10016,10013
10027,10038
10031,10031
10021,10038
11374,10027
10011,10011
10280,10280
11222,10116
11104,10001
10011,10017
11428,10019
10014,10014
10027,10027
11215,10016
10026,10026
11423,11423
7302,10017
11021,
7677,7677
11743,11222
10024,10012
11217,10036
11215,72716
7452,
8840,10022
11375,11375
10001,10012
7030,10038
10009,10018
11373,10011
11421,10016
20010,20037
7087,7030
10012,10012
11201,11201
10027,
10014,10014
,
10280,10280
11216,11216
10001,10001
8525,8525
11238,10011
11106,10013
10009,10001
10023,10017
,10012
10024,10036
10036,10036
,
7928,7928
7047,10010
10003,10014
7666,7666
,10012
11238,10018
11216,10045
10029,10027
11237,7310
10028,10016
11232,10001
10461,10461
10016,10017
10025,10027
11205,11205
10003,10027
11215,7090
11373,10014
10003,
10029,10029
10001,7410
11232,11232
10016,10016
10022,10022
7450,10014
10463,10468
94301,94301
10003,10003
10012,10018
7030,7302
7470,7470
10003,10003
10044,10021
10032,10032
10128,7032
7086,10001
10025,10010
10032,10001
11735,11788
10065,10065
8840,7302
10001,10001
10025,10004
10025,10025
10025,10025
10027,10027
11215,10013
10032,10003
